,Unnamed: 0,0,1
0,Ederson,40000000.0,17 août 1993 (29)
1,Stefan Ortega,9000000.0,6 nov. 1992 (30)
2,Zack Steffen,3500000.0,2 avr. 1995 (28)
3,Scott Carson,200000.0,3 sept. 1985 (37)
4,Rúben Dias,80000000.0,14 mai 1997 (26)
5,Nathan Aké,42000000.0,18 févr. 1995 (28)
6,John Stones,40000000.0,28 mai 1994 (29)
7,Manuel Akanji,38000000.0,19 juil. 1995 (27)
8,Aymeric Laporte,25000000.0,27 mai 1994 (29)
9,Luke Mbete,2000000.0,18 sept. 2003 (19)
10,Sergio Gómez,13000000.0,4 sept. 2000 (22)
11,Josh Wilson-Esbrand,1500000.0,26 déc. 2002 (20)
12,João Cancelo,50000000.0,27 mai 1994 (29)
13,Rico Lewis,20000000.0,21 nov. 2004 (18)
14,Kyle Walker,13000000.0,28 mai 1990 (33)
15,Rodri,90000000.0,22 juin 1996 (27)
16,Kalvin Phillips,32000000.0,2 déc. 1995 (27)
17,Máximo Perrone,10000000.0,7 janv. 2003 (20)
18,Claudio Gomes,1400000.0,23 juil. 2000 (22)
19,İlkay Gündoğan,20000000.0,24 oct. 1990 (32)
20,Bernardo Silva,80000000.0,10 août 1994 (28)
21,Kevin De Bruyne,70000000.0,28 juin 1991 (32)
22,Cole Palmer,15000000.0,6 mai 2002 (21)
23,Alex Robertson,50000.0,17 avr. 2003 (20)
24,Jack Grealish,75000000.0,10 sept. 1995 (27)
25,Phil Foden,110000000.0,28 mai 2000 (23)
26,Riyad Mahrez,20000000.0,21 févr. 1991 (32)
27,Ben Knight,300000.0,14 juin 2002 (21)
28,Julián Álvarez,60000000.0,31 janv. 2000 (23)
29,Erling Haaland,180000000.0,21 juil. 2000 (22)
30,Liam Delap,5000000.0,8 févr. 2003 (20)
31,Aaron Ramsdale,40000000.0,14 mai 1998 (25)
32,Matt Turner,8000000.0,24 juin 1994 (29)
33,Karl Hein,1500000.0,13 avr. 2002 (21)
34,William Saliba,65000000.0,24 mars 2001 (22)
35,Gabriel Magalhães,55000000.0,19 déc. 1997 (25)
36,Jakub Kiwior,25000000.0,15 févr. 2000 (23)
37,Auston Trusty,10000000.0,12 août 1998 (24)
38,Rob Holding,8000000.0,20 sept. 1995 (27)
39,Oleksandr Zinchenko,42000000.0,15 déc. 1996 (26)
40,Kieran Tierney,25000000.0,5 juin 1997 (26)
41,Lino Sousa,500000.0,19 janv. 2005 (18)
42,Ben White,55000000.0,8 oct. 1997 (25)
43,Takehiro Tomiyasu,25000000.0,5 nov. 1998 (24)
