,Joueur,Numéro de maillot,Nation,Emplacement,Âge,Minutes,Buts,Passes décisives_x,Pénaltys marqués,Pénaltys tirés,Total des tirs ,Shots on Target,Cartons jaunes_x,Cartons rouges_x,Touches_x,Tacles_x,Interceptions_x,Balles contrées_x,xG: Expected Goals,npxG: xG sans les pénaltys,xAG: Expected Assisted Goals_x,Actions menant à un tir,Actions menant à un but,Passes réussies_x,Passes tentées_x,% de passes réussies_x,Passes progressives_x,Balle au pied_x,Possessions progressives_x,Dribbles tentés_x,Dribbles réussis_x,team tag,match tag,player tag,id_team_A,score_team_A,id_team_B,score_team_B,Passes réussies_y,Passes tentées_y,% de passes réussies_y,Distance totale des passes,Distance parcourue vers l'attaque avec les passes,Passes réussies (Court),Passes tentées (Court),% de passes réussies (Court),Passes réussies (Moyen),Passes tentées (Moyen),% de passes réussies (Moyen),Passes réussies (Long),Passes tentées (Long),% de passes réussies (Long),Passes décisives_y,xAG: Expected Assisted Goals_y,xA: Expected Assists,Passes clés,Passes dans le dernier tiers du terrain,Passes dans la surface de réparation,Centres dans la surface de réparation,Passes progressives_y,Passes tentées,Live-ball Passes,Dead-ball Passes,Passes sur coups francs,Passe en profondeur,Transversales,Centres_x,Throw-ins Taken,Corners,Corners rentrants,Corners sortants,Corners droits,Passes réussies,Passes hors-jeux,Passes bloquées_x,Tacles_y,Tacles réussis_x,Tacles (ZDéf),Tacles (MilTer),Tacles (ZOff),Dribbleurs taclés,Dribbles mis en échec,% of Dribblers Tackled,Tacles manqués,Balles contrées_y,Tirs bloqués,Passes bloquées_y,Interceptions_y,Tcl+Int,Dégagements,Erreurs,Touches_y,Touches (SurfRépDéf),Touches (ZDéf),Touches (MilTer),Touches (ZOff),Touches (SurfRépOff),Touches (Ballon vivant),Dribbles tentés_y,Dribbles réussis_y,% de dribbles réussis,Nombre de fois où le joueur a été taclé,Pourcentage de tacles subis lors des tentatives de franchissement,Balle au pied_y,Distance totale parcourue avec le ballon,Distance parcourue vers l'attaque en portant la balle,Possessions progressives_y,Chevauchées dans le dernier tiers,Chevauchées dans la surface de réparation,Mauvais contrôle,Perte de balle,Passes reçues,Passes progressives reçues,Cartons jaunes_y,Cartons rouges_y,Deuxième carton jaune,Fautes commises,Fautes provoquées,Hors-jeux,Centres_y,Interceptions,Tacles réussis_y,Pénaltys réussis,Pénaltys concédés,But contre son camp,Récupérations de balle,Aerials Won,Aerials Lost,% of Aerials Won
0,Odsonne Édouard,22,fr FRA,FW,24-201,57,0,0,0,0,3,1,0,0,20,0,0,0,0.2,0.2,0.0,1,0,3,6,50.0,0,12,2,2,1,47c64c55,e62f6e78,0562b7f1,47c64c55,0,18bb7c10,2,3,6,50.0,34,1,3,4,75.0,0,2,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,20,1,3,9,9,4,20,2,1,50.0,1,50.0,12,47,29,2,3,1,2,3,11,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0.0
1,Jean-Philippe Mateta,14,fr FRA,FW,25-038,33,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.2,0,0,8,10,80.0,0,8,1,0,0,47c64c55,e62f6e78,50e6dc35,47c64c55,0,18bb7c10,2,8,10,80.0,78,0,6,7,85.7,1,1,100.0,0,0,,0,0.2,0.0,1,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,0,0,5,8,4,13,0,0,,0,,8,23,2,1,0,1,1,0,10,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
2,Wilfried Zaha,11,ci CIV,LW,29-268,90,0,0,0,0,1,0,0,0,50,3,0,0,0.1,0.1,0.6,3,0,30,39,76.9,2,44,7,5,3,47c64c55,e62f6e78,b2bc3b1f,47c64c55,0,18bb7c10,2,30,39,76.9,387,87,22,23,95.7,7,8,87.5,0,2,0.0,0,0.6,0.8,2,0,3,1,2,39,39,0,0,1,0,4,0,0,0,0,0,30,0,2,3,2,0,1,2,1,2,50.0,1,0,0,0,0,3,0,0,50,0,7,17,27,6,50,5,3,60.0,2,40.0,44,396,151,7,4,3,5,4,41,8,0,0,0,2,5,1,4,0,2,0,0,0,9,0,0,
3,Jordan Ayew,9,gh GHA,"RW,AM",30-328,90,0,0,0,0,1,0,0,0,43,2,0,0,0.1,0.1,0.1,7,0,27,34,79.4,0,34,5,9,6,47c64c55,e62f6e78,da052c14,47c64c55,0,18bb7c10,2,27,34,79.4,404,27,18,20,90.0,6,6,100.0,2,4,50.0,0,0.1,0.0,3,0,1,1,0,34,34,0,0,0,0,4,0,0,0,0,0,27,0,0,2,1,0,0,2,0,4,0.0,4,0,0,0,0,2,1,0,43,1,7,19,20,1,43,9,6,66.7,3,33.3,34,382,174,5,5,1,1,5,34,7,0,0,0,4,0,0,4,0,1,0,0,0,4,2,3,40.0
4,Eberechi Eze,10,eng ENG,AM,24-037,85,0,0,0,0,1,1,0,0,55,1,0,1,0.5,0.5,0.0,1,0,32,41,78.0,0,34,1,4,1,47c64c55,e62f6e78,ae4fc6a4,47c64c55,0,18bb7c10,2,32,41,78.0,533,119,15,16,93.8,11,12,91.7,3,7,42.9,0,0.0,0.1,0,2,0,0,0,41,30,10,5,0,0,5,0,3,1,2,0,32,1,2,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0,55,1,7,26,23,3,55,4,1,25.0,3,75.0,34,180,56,1,4,1,5,1,32,4,0,0,0,0,0,0,5,0,1,0,0,0,5,1,2,33.3
5,Malcolm Ebiowei,23,eng ENG,RW,18-335,5,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,1,4,1,3,1,47c64c55,e62f6e78,fa9fa773,47c64c55,0,18bb7c10,2,2,3,66.7,53,12,1,1,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5,3,1,33.3,2,66.7,4,57,21,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Jeffrey Schlupp,15,gh GHA,DM,29-225,85,0,0,0,0,3,0,0,0,53,4,1,2,0.2,0.2,0.0,1,0,30,35,85.7,2,36,1,4,3,47c64c55,e62f6e78,3312f911,47c64c55,0,18bb7c10,2,30,35,85.7,398,43,16,18,88.9,11,11,100.0,1,4,25.0,0,0.0,0.0,0,0,1,0,2,35,35,0,0,1,0,0,0,0,0,0,0,30,0,0,4,2,1,3,0,0,2,0.0,2,2,1,1,1,5,0,0,53,3,11,27,16,3,53,4,3,75.0,1,25.0,36,114,35,1,3,0,2,1,32,4,0,0,0,2,0,0,0,1,2,0,0,0,6,1,2,33.3
7,Will Hughes,19,eng ENG,DM,27-110,5,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,4,0,0,0,47c64c55,e62f6e78,a0666d3e,47c64c55,0,18bb7c10,2,3,5,60.0,24,0,3,3,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,5,4,1,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,0,2,3,2,5,0,0,,0,,4,6,3,0,0,0,0,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
8,Cheick Doucouré,28,ml MLI,DM,22-209,74,0,0,0,0,0,0,0,0,39,1,1,1,0.0,0.0,0.0,1,0,32,34,94.1,6,25,2,0,0,47c64c55,e62f6e78,ce4f40c7,47c64c55,0,18bb7c10,2,32,34,94.1,501,165,19,20,95.0,10,10,100.0,3,4,75.0,0,0.0,0.0,0,3,0,0,6,34,34,0,0,0,0,0,0,0,0,0,0,32,0,0,1,1,1,0,0,0,2,0.0,2,1,0,1,1,2,1,0,39,0,12,23,5,0,39,0,0,,0,,25,100,53,2,0,0,0,0,24,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,
9,Luka Milivojević,4,rs SRB,DM,31-120,16,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,15,17,88.2,3,12,0,0,0,47c64c55,e62f6e78,2ce2508a,47c64c55,0,18bb7c10,2,15,17,88.2,225,60,5,5,100.0,8,10,80.0,0,0,,0,0.0,0.0,0,1,1,0,3,17,17,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,17,0,2,10,5,0,17,0,0,,0,,12,38,10,0,0,0,0,0,14,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
