,0,1
Ederson,"40,00 mio. €",17 août 1993 (29)
Stefan Ortega,"9,00 mio. €",6 nov. 1992 (30)
Zack Steffen,"3,50 mio. €",2 avr. 1995 (28)
Scott Carson,200 K €,3 sept. 1985 (37)
Rúben Dias,"80,00 mio. €",14 mai 1997 (26)
Nathan Aké,"42,00 mio. €",18 févr. 1995 (28)
John Stones,"40,00 mio. €",28 mai 1994 (29)
Manuel Akanji,"38,00 mio. €",19 juil. 1995 (27)
Aymeric Laporte,"25,00 mio. €",27 mai 1994 (29)
Luke Mbete,"2,00 mio. €",18 sept. 2003 (19)
Sergio Gómez,"13,00 mio. €",4 sept. 2000 (22)
Josh Wilson-Esbrand,"1,50 mio. €",26 déc. 2002 (20)
Benjamin Mendy,-,17 juil. 1994 (28)
João Cancelo,"50,00 mio. €",27 mai 1994 (29)
Rico Lewis,"20,00 mio. €",21 nov. 2004 (18)
Kyle Walker,"13,00 mio. €",28 mai 1990 (33)
Rodri,"90,00 mio. €",22 juin 1996 (27)
Kalvin Phillips,"32,00 mio. €",2 déc. 1995 (27)
Máximo Perrone,"10,00 mio. €",7 janv. 2003 (20)
Claudio Gomes,"1,40 mio. €",23 juil. 2000 (22)
Shea Charles,-,5 nov. 2003 (19)
İlkay Gündoğan,"20,00 mio. €",24 oct. 1990 (32)
Bernardo Silva,"80,00 mio. €",10 août 1994 (28)
Kevin De Bruyne,"70,00 mio. €",28 juin 1991 (32)
Cole Palmer,"15,00 mio. €",6 mai 2002 (21)
Alex Robertson,50 K €,17 avr. 2003 (20)
Nico O'Reilly,-,21 mars 2005 (18)
Jack Grealish,"75,00 mio. €",10 sept. 1995 (27)
Phil Foden,"110,00 mio. €",28 mai 2000 (23)
Riyad Mahrez,"20,00 mio. €",21 févr. 1991 (32)
Ben Knight,300 K €,14 juin 2002 (21)
Julián Álvarez,"60,00 mio. €",31 janv. 2000 (23)
Erling Haaland,"180,00 mio. €",21 juil. 2000 (22)
Liam Delap,"5,00 mio. €",8 févr. 2003 (20)
Aaron Ramsdale,"40,00 mio. €",14 mai 1998 (25)
Matt Turner,"8,00 mio. €",24 juin 1994 (29)
Karl Hein,"1,50 mio. €",13 avr. 2002 (21)
James Hillson,-,14 janv. 2001 (22)
William Saliba,"65,00 mio. €",24 mars 2001 (22)
Gabriel Magalhães,"55,00 mio. €",19 déc. 1997 (25)
