,FW,LW,"RW,AM",AM,RW,DM,LB,CB,RB,GK,LM,CM,RM,"CM,RW","LW,RW","RM,LM","RM,CM",WB,"LM,FW","CM,RM","LW,LM","RW,RM","CB,CM","AM,FW","FW,LW","CM,DM","DM,CM","WB,LB","WB,RB","LW,AM","DM,RM","LM,RM","LB,CB","RM,CB,LM","FW,AM","RW,RB","RM,CB","FW,CM","LW,FW","RW,WB","RW,LB,WB","CM,LM,DM","CM,RM,AM","CB,RB","LW,FW,RW","CM,FW","RW,RM,AM","AM,LW","LM,LW","FW,LM","AM,CM","RB,LM","LM,LB","RM,RB","AM,RM","CM,AM","RW,FW","RW,LW","LW,RB","LM,DM","RM,AM","FW,AM,RW","DM,LM","RM,DM","WB,CM","CB,WB","AM,LM","CB,LB","CM,LM","RB,LB","CM,LW,AM","CM,AM,RW","AM,RW,RM","FW,RW","LB,LM","LB,LW","RB,RW","RW,CM","FW,RM","WB,LB,CB","WB,DM,CM","CB,RB,RW","WB,LW","WB,RW","AM,RW","DM,AM","LW,LB","DM,RW","LM,RW","AM,DM","CM,FW,LM","LM,CM","RM,WB","LB,WB","RB,CB","LM,RB","LW,RM","RM,LW","CB,DM","LW,WB,LM","RW,WB,RM","LM,CM,DM","LW,CB","LW,WB","LM,AM","LW,AM,FW","CM,CB","AM,DM,CM","RM,LB","LB,RB","RW,DM","CB,RW","RB,WB","AM,LM,LW","RW,FW,RM","RB,DM","LW,RW,FW","CM,LB","CM,LW","WB,LB,LM","RM,RW","FW,LW,RW","DM,LW","FW,LM,LW","FW,RM,RB","AM,FW,RM","FW,RB","LM,CB","RM,CM,LM","RB,CM","LB,CM","RW,LM","LM,WB","CM,RM,LB","WB,LB,RB","CM,DM,RM","WB,LW,LM","AM,CM,FW","DM,CB","LB,RM","RW,AM,FW","AM,FW,RW","DM,CM,LM","LW,LM,RW","RM,WB,LB","WB,RM","RW,LM,FW","LW,RW,RM,AM","RW,FW,LM","RM,CM,DM","CM,RB","CM,WB","WB,AM,FW","LW,DM","LB,WB,RB","WB,AM","DM,CM,AM","DM,CM,CB","WB,LW,RW"
Buts,0.31816608996539797,0.1072048611111111,0.0,0.17690595724858968,0.21714285714285714,0.0644378698224852,0.026861206922865602,0.02991159884163998,0.011492698756084371,0.0,0.08417472632585823,0.0896,0.11966551326412915,0.0,0.09000000000000001,0.0,0.13017751479289938,0.041587901701323246,0.0,0.09000000000000001,0.14876033057851235,0.3541666666666667,0.0,0.30555555555555547,0.14876033057851237,0.036982248520710054,0.05693296602387511,0.0,0.07100591715976333,0.09876543209876543,0.0,0.0,0.0,0.0,0.4400000000000001,0.0,0.0,0.0,0.41322314049586756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109375,0.0,0.484375,0.0,0.0,0.22222222222222224,0.22222222222222224,0.0,0.12244897959183676,0.0,0.0,0.22222222222222224,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09876543209876543,0.0,0.0,0.0,0.0,0.12244897959183677,0.0,0.0,0.0,0.0,0.22222222222222224,0.0,0.0,0.0,0.25,0.0,0.08264462809917353,0.0,0.0,0.0,0.0,0.0,0.0,0.09876543209876543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passes décisives_x,0.13352076124567475,0.11265432098765432,0.0,0.11065679830236531,0.10096938775510207,0.02982248520710059,0.07771435548365434,0.018175582990397808,0.04958761492698757,0.009851241305908273,0.10054203422255288,0.04206399999999999,0.1430219146482122,0.0,0.09000000000000001,0.0,0.0,0.07939508506616258,0.22222222222222224,0.0,0.14876033057851235,0.07638888888888888,0.0,0.07638888888888887,0.08264462809917353,0.07100591715976332,0.05693296602387511,0.09876543209876543,0.07100591715976333,0.0,0.13888888888888892,0.75,0.0,0.0,0.21000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.22222222222222224,0.0,0.0,0.0,0.0,0.22222222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.1388888888888889,0.13888888888888892,0.0,0.0,0.0,0.0,0.0,0.12244897959183677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14876033057851235,0.16000000000000003,0.25,0.0,0.25,0.0,0.0,0.09876543209876543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pénaltys marqués,0.02854671280276816,0.0,0.0,0.0,0.007091836734693879,0.007633136094674557,0.0,0.0,0.0,0.0,0.0,0.011856000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07638888888888888,0.0,0.0,0.08264462809917354,0.036982248520710054,0.029384756657483937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pénaltys tirés,0.03677335640138409,0.006896219135802472,0.0,0.0,0.007091836734693879,0.007633136094674557,0.0,0.0,0.0,0.0,0.0,0.011856000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07638888888888888,0.0,0.0,0.08264462809917354,0.07100591715976333,0.029384756657483937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total des tirs ,2.78719723183391,1.9613715277777777,1.109375,1.392370995290099,1.7989285714285719,1.0546745562130178,0.3684869204236744,0.5761316872427985,0.45146024878312613,0.0,1.525348070995855,0.9441439999999999,1.9197424067666284,0.22222222222222224,1.29,0.0,1.36094674556213,1.7760974585171183,0.22222222222222224,0.64,0.8099173553719006,3.4097222222222228,0.1875,3.076388888888888,2.4297520661157024,0.6331360946745563,0.9054178145087236,0.2222222222222222,1.1479289940828403,2.888888888888888,1.8055555555555554,2.5,0.22222222222222224,0.0,3.810000000000001,0.0,0.0,0.9795918367346937,1.9669421487603302,0.0,0.0,0.0,0.0,0.09000000000000001,0.0,0.0,0.0,0.56,1.25,0.0,1.6875,0.0,0.0,0.2222222222222222,2.888888888888889,0.5555555555555557,3.551020408163265,0.888888888888889,0.0,1.5555555555555556,1.0,0.0,0.0,1.6875,0.0,0.0,1.3333333333333333,0.2222222222222223,0.8888888888888888,0.0,0.0,0.0,0.0,2.204081632653061,0.2222222222222222,0.0,0.22222222222222224,0.888888888888889,0.888888888888889,0.0,0.0,0.0,2.25,0.0,1.702479338842975,0.4,0.25,0.0,1.0,0.0,0.0,0.9876543209876544,0.25,0.484375,0.42975206611570244,0.0,0.0,0.1875,0.0,0.0,0.0,0.6875,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.6666666666666666,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1599999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shots on Target,0.8807179930795849,0.52734375,0.109375,0.6160136638890327,0.5399999999999999,0.26130177514792907,0.07136534293824974,0.11450236244474928,0.08639805300162251,0.0,0.43065150387926454,0.21038400000000002,0.5028835063437138,0.22222222222222224,0.24,0.0,0.40236686390532544,0.26507036336904005,0.0,0.20999999999999996,0.2314049586776859,0.6875,0.0,0.75,0.7768595041322314,0.036982248520710054,0.31955922865013775,0.0,0.1301775147928994,0.46913580246913583,0.13888888888888892,0.75,0.13888888888888892,0.0,1.0,0.0,0.0,0.5306122448979591,1.0909090909090908,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16000000000000003,0.234375,0.0,0.734375,0.0,0.0,0.22222222222222224,0.6666666666666666,0.22222222222222224,2.693877551020409,0.22222222222222224,0.0,0.22222222222222224,1.0,0.0,0.0,0.5,0.0,0.0,0.22222222222222224,0.13888888888888892,0.2222222222222222,0.0,0.0,0.0,0.0,0.5306122448979592,0.22222222222222224,0.0,0.22222222222222224,0.0,0.22222222222222224,0.0,0.0,0.0,0.25,0.0,0.42975206611570244,0.24000000000000005,0.25,0.0,0.0,0.0,0.0,0.09876543209876543,0.25,0.109375,0.08264462809917354,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cartons jaunes_x,0.09000000000000001,0.1232638888888889,0.1875,0.0667667305004917,0.05387755102040817,0.16899408284023668,0.089557705808736,0.12593354671543971,0.1721200648999459,0.03821687581990544,0.09246466149431394,0.14510399999999998,0.12543252595155716,0.0,0.09000000000000001,0.0,0.17751479289940827,0.1617307288384794,0.0,0.09000000000000001,0.14876033057851237,0.1875,0.1875,0.07638888888888887,0.0,0.10207100591715977,0.18365472910927455,0.0,0.07100591715976333,0.0,0.13888888888888892,0.0,0.13888888888888892,0.0,0.0,0.0,0.0,0.12244897959183677,0.14876033057851235,0.0,0.0,0.0,0.0,0.09000000000000001,0.0,0.0,0.0,0.16000000000000003,0.0,0.0,0.109375,0.0,0.0,0.0,0.0,0.0,0.12244897959183677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13888888888888892,0.13888888888888892,0.0,0.0,0.0,0.0,0.0,0.12244897959183677,0.0,0.25,0.22222222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1983471074380165,0.0,0.25,0.0,0.0,0.0,0.0,0.1728395061728395,0.25,0.109375,0.1983471074380165,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22222222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cartons rouges_x,0.0029325259515570927,0.006896219135802472,0.0,0.0,0.0,0.007633136094674557,0.0,0.004098291249640129,0.0,0.0,0.0,0.0039840000000000006,0.0,0.0,0.0,0.0,0.0,0.014282713715605962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Touches_x,178.4773356401384,323.1330536265432,148.4375,355.74421613788104,328.36408163265304,665.3460946745563,747.2821952931839,702.92823333164,753.3266630611141,97.4472909086409,509.8769263471144,827.4714239999998,465.0673779315648,530.6666666666666,245.76000000000005,0.0,400.3076923076923,550.2398655744591,81.55555555555556,989.2899999999997,288.54545454545456,263.1666666666667,1015.1875,273.90972222222223,94.54545454545455,463.32100591715977,753.4839302112031,374.6172839506173,203.207100591716,308.09876543209873,447.8055555555556,278.6875,279.8055555555556,0.0,366.25,0.0,0.0,532.4081632653061,368.26446280991735,42.25,90.25,256.0,0.0,831.2,0.0,88.66666666666667,0.0,244.16000000000003,464.6875,0.25,711.359375,0.0,0.0,60.666666666666664,429.5555555555556,607.6666666666666,217.3877551020408,241.55555555555557,0.0,11.555555555555557,196.0,0.0,1.0,15.5,0.0,0.0,177.33333333333334,118.22222222222221,450.0246913580247,679.6,0.0,0.0,0.0,194.20408163265307,392.6666666666667,306.25,309.5555555555556,254.0,101.55555555555554,0.0,0.0,0.0,56.25,0.0,242.56198347107437,429.84,72.25,0.0,225.0,0.0,0.0,491.55555555555554,4.0,606.9375,966.3305785123968,0.0,0.0,79.1875,0.0,0.0,0.0,497.1875,0.0,1.0,12.25,132.25,0.0,0.0,0.0,488.22222222222223,1.0,0.0,326.22222222222223,0.0,0.0,0.0,0.0,0.0,4.0,0.0,614.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tacles_x,0.5403027681660901,1.2349054783950615,2.234375,1.0428031675379121,1.4277551020408163,3.180828402366864,2.437471383657398,1.499589324120646,3.118983234180638,0.02425682532610579,2.4259751301944945,2.8064000000000004,2.0526720492118415,3.555555555555556,0.8099999999999999,0.0,1.1597633136094674,2.5356017643352238,0.888888888888889,1.56,2.446280991735537,4.1875,0.75,1.555555555555556,0.5619834710743802,2.1005917159763317,3.2947658402203857,0.4444444444444444,3.289940828402367,0.9876543209876544,2.2222222222222228,1.1875,0.888888888888889,0.0,0.8099999999999999,0.0,0.0,1.2653061224489794,3.0578512396694224,0.25,0.25,0.0,0.0,2.65,0.0,0.22222222222222224,0.0,1.2,0.6875,0.0,2.5,0.0,0.0,0.2222222222222222,0.22222222222222224,7.333333333333333,1.3469387755102038,0.22222222222222224,0.0,0.6666666666666666,1.0,0.0,2.25,2.25,0.0,0.0,1.3333333333333333,1.8055555555555556,1.728395061728395,2.16,0.0,0.0,0.0,1.346938775510204,1.5555555555555556,1.0,0.6666666666666666,0.22222222222222224,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.9256198347107436,0.24000000000000005,1.0,0.0,0.25,0.0,0.0,0.8888888888888888,0.0,1.4375,0.8099173553719009,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.25,0.0,0.25,0.0,0.0,0.0,1.5555555555555554,0.0,0.25,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
